interview_id,impoundment_code,boat_or_shore,hours_fishing,preferred_species,event_id,sample_date,age_count,angler_gender,angler_age
132586,RFFA,1,1,Blue Catfish,141930,6/1/2024,1,M,16-64
132581,RFFA,1,2.5,Catfish,141928,6/8/2024,1,M,16-64
132580,RFFA,1,1.5,Blue Catfish,141928,6/8/2024,1,F,16-64
132580,RFFA,1,1.5,Blue Catfish,141928,6/8/2024,1,F,<16
132580,RFFA,1,1.5,Blue Catfish,141928,6/8/2024,1,M,16-64
132579,RFFA,1,2,Largemouth Bass,141928,6/8/2024,1,F,16-64
132579,RFFA,1,2,Largemouth Bass,141928,6/8/2024,1,M,16-64
132578,RFFA,1,1,Catfish,141928,6/8/2024,1,F,16-64
132578,RFFA,1,1,Catfish,141928,6/8/2024,1,M,16-64
132578,RFFA,1,1,Catfish,141928,6/8/2024,1,M,<16
132578,RFFA,1,1,Catfish,141928,6/8/2024,2,M,65-74
132577,RFFA,1,1.5,Wiper - W x S Bass,141928,6/8/2024,1,F,16-64
132577,RFFA,1,1.5,Wiper - W x S Bass,141928,6/8/2024,2,M,16-64
132576,RFFA,1,2,Catfish,141928,6/8/2024,1,M,16-64
132576,RFFA,1,2,Catfish,141928,6/8/2024,2,M,65-74
132575,RFFA,1,2,Wiper - W x S Bass,141927,6/9/2024,1,F,16-64
132575,RFFA,1,2,Wiper - W x S Bass,141927,6/9/2024,1,M,16-64
132574,RFFA,1,1,Largemouth Bass,141927,6/9/2024,3,M,16-64
132573,RFFA,1,2.5,Catfish,141927,6/9/2024,1,F,65-74
132573,RFFA,1,2.5,Catfish,141927,6/9/2024,1,M,65-74
132573,RFFA,1,2.5,Catfish,141927,6/9/2024,2,M,<16
132572,RFFA,1,2,Wiper - W x S Bass,141927,6/9/2024,1,F,16-64
132572,RFFA,1,2,Wiper - W x S Bass,141927,6/9/2024,1,M,16-64
132571,RFFA,1,1,Largemouth Bass,141927,6/9/2024,1,F,<16
132571,RFFA,1,1,Largemouth Bass,141927,6/9/2024,1,M,16-64
132571,RFFA,1,1,Largemouth Bass,141927,6/9/2024,1,M,<16
132570,RFFA,1,2,Blue Catfish,141927,6/9/2024,1,F,16-64
132570,RFFA,1,2,Blue Catfish,141927,6/9/2024,1,M,16-64
132570,RFFA,1,2,Blue Catfish,141927,6/9/2024,1,M,65-74
132569,RFFA,1,1.5,Catfish,141927,6/9/2024,1,F,16-64
132569,RFFA,1,1.5,Catfish,141927,6/9/2024,1,M,16-64
132561,RFFA,1,1.5,Catfish,141925,6/4/2024,1,F,16-64
132561,RFFA,1,1.5,Catfish,141925,6/4/2024,1,M,16-64
132560,RFFA,1,2,Catfish,141925,6/4/2024,1,M,65-74
132559,RFFA,1,2,White Crappie,141925,6/4/2024,1,M,16-64
132559,RFFA,1,2,White Crappie,141925,6/4/2024,1,M,65-74
132559,RFFA,1,2,White Crappie,141925,6/4/2024,1,M,<16
132551,RFFA,1,1.5,Saugeye,141921,6/2/2024,1,F,16-64
132551,RFFA,1,1.5,Saugeye,141921,6/2/2024,1,F,<16
132551,RFFA,1,1.5,Saugeye,141921,6/2/2024,1,M,16-64
132550,RFFA,1,2,Catfish,141921,6/2/2024,1,F,<16
132550,RFFA,1,2,Catfish,141921,6/2/2024,2,M,16-64
132549,RFFA,1,1.5,Wiper - W x S Bass,141921,6/2/2024,2,M,16-64
132548,RFFA,1,2,Catfish,141921,6/2/2024,1,M,16-64
132548,RFFA,1,2,Catfish,141921,6/2/2024,1,M,65-74
132547,RFFA,1,1,White Crappie,141921,6/2/2024,3,M,16-64
132546,RFFA,1,0.5,Catfish,141920,6/3/2024,1,M,16-64
132546,RFFA,1,0.5,Catfish,141920,6/3/2024,1,M,<16
132545,RFFA,1,2,Saugeye,141920,6/3/2024,1,M,65-74
132540,RFFA,1,1.5,Blue Catfish,141917,6/10/2024,2,M,16-64
132539,RFFA,1,1.5,Catfish,141917,6/10/2024,1,F,16-64
132539,RFFA,1,1.5,Catfish,141917,6/10/2024,1,F,<16
132539,RFFA,1,1.5,Catfish,141917,6/10/2024,1,M,16-64
132539,RFFA,1,1.5,Catfish,141917,6/10/2024,1,M,<16
132538,RFFA,1,1,Saugeye,141917,6/10/2024,1,M,16-64
132536,RFFA,1,1,Catfish,141915,6/13/2024,1,F,16-64
132536,RFFA,1,1,Catfish,141915,6/13/2024,1,M,16-64
132536,RFFA,1,1,Catfish,141915,6/13/2024,1,M,<16
132535,RFFA,1,2,Saugeye,141915,6/13/2024,1,M,65-74
132534,RFFA,1,2,Wiper - W x S Bass,141914,6/14/2024,1,M,65-74
132533,RFFA,1,1.5,Saugeye,141914,6/14/2024,2,M,16-64
132532,RFFA,1,1,Catfish,141914,6/14/2024,1,F,16-64
132532,RFFA,1,1,Catfish,141914,6/14/2024,1,M,16-64
132526,RFFA,1,0.5,Catfish,141911,6/15/2024,1,F,16-64
132526,RFFA,1,0.5,Catfish,141911,6/15/2024,1,M,16-64
132525,RFFA,1,1,Catfish,141911,6/15/2024,1,F,16-64
132525,RFFA,1,1,Catfish,141911,6/15/2024,1,M,16-64
132524,RFFA,1,1,Wiper - W x S Bass,141911,6/15/2024,2,F,16-64
132524,RFFA,1,1,Wiper - W x S Bass,141911,6/15/2024,2,M,16-64
132523,RFFA,1,1,Blue Catfish,141910,6/16/2024,2,M,16-64
132371,HISB,1,2.5,Catfish,141880,10/26/2024,2,M,16-64
132370,HISB,1,2,Pomoxis,141880,10/26/2024,1,M,16-64
132369,HISB,1,2.5,Pomoxis,141880,10/26/2024,1,F,16-64
132369,HISB,1,2.5,Pomoxis,141880,10/26/2024,1,M,16-64
132369,HISB,1,2.5,Pomoxis,141880,10/26/2024,1,M,<16
132369,HISB,1,2.5,Pomoxis,141880,10/26/2024,2,F,<16
132368,HISB,1,8,Catfish,141879,10/20/2024,1,F,16-64
132368,HISB,1,8,Catfish,141879,10/20/2024,1,M,16-64
132367,HISB,1,3,Catfish,141879,10/20/2024,1,F,16-64
132367,HISB,1,3,Catfish,141879,10/20/2024,2,M,16-64
132366,HISB,1,3,Catfish,141879,10/20/2024,1,M,16-64
132366,HISB,1,3,Catfish,141879,10/20/2024,1,M,<16
132365,HISB,1,2,Catfish,141879,10/20/2024,1,M,16-64
132364,HISB,1,0.5,Pomoxis,141877,10/18/2024,1,M,16-64
132363,HISB,1,1.25,Pomoxis,141873,10/6/2024,1,M,16-64
132362,HISB,1,1.5,Pomoxis,141872,10/5/2024,1,M,16-64
132361,HISB,1,1,Catfish,141871,10/2/2024,2,M,16-64
132360,HISB,1,0.5,Pomoxis,141864,9/19/2024,1,F,16-64
132359,HISB,1,1.5,Catfish,141869,9/27/2024,1,M,16-64
132358,HISB,1,1,Pomoxis,141868,9/24/2024,1,M,16-64
132357,HISB,1,1,Pomoxis,141864,9/19/2024,1,M,16-64
132356,HISB,1,1,Pomoxis,141864,9/19/2024,1,M,16-64
132355,HISB,1,1,Catfish,141863,9/14/2024,1,M,16-64
132355,HISB,1,1,Catfish,141863,9/14/2024,2,M,<16
132354,HISB,1,0.5,Pomoxis,141862,9/13/2024,1,M,65-74
132353,HISB,1,1.5,***No Fish***,141861,9/7/2024,1,M,<16
132353,HISB,1,1.5,***No Fish***,141861,9/7/2024,2,M,16-64
132352,HISB,1,1,Catfish,141858,8/31/2024,2,M,16-64
132351,HISB,1,1.5,Pomoxis,141858,8/31/2024,1,F,16-64
132351,HISB,1,1.5,Pomoxis,141858,8/31/2024,1,M,16-64
132350,HISB,1,1,Pomoxis,141858,8/31/2024,2,M,16-64
132349,HISB,1,0.75,Pomoxis,141856,8/24/2024,1,M,<16
132349,HISB,1,0.75,Pomoxis,141856,8/24/2024,2,M,16-64
132348,HISB,1,1.25,Pomoxis,141855,8/17/2024,1,M,16-64
132347,HISB,1,4,Catfish,141855,8/17/2024,2,M,16-64
132346,HISB,1,1,Catfish,141853,8/13/2024,1,F,16-64
132346,HISB,1,1,Catfish,141853,8/13/2024,1,M,16-64
132345,HISB,1,0.5,Catfish,141852,8/12/2024,1,M,16-64
132345,HISB,1,0.5,Catfish,141852,8/12/2024,1,M,<16
132344,HISB,1,5,Catfish,141851,8/11/2024,2,M,16-64
132344,HISB,1,5,Catfish,141851,8/11/2024,3,M,<16
132343,HISB,1,2,Catfish,141850,8/9/2024,2,M,16-64
132342,HISB,1,1,Pomoxis,141849,8/7/2024,1,M,16-64
132341,HISB,1,1.5,Catfish,141849,8/7/2024,2,M,16-64
132340,HISB,1,2,Pomoxis,141849,8/7/2024,2,M,16-64
132339,HISB,1,2,Catfish,141849,8/7/2024,1,M,<16
132339,HISB,1,2,Catfish,141849,8/7/2024,2,M,16-64
132338,HISB,1,0.25,Pomoxis,141848,8/4/2024,1,M,16-64
132338,HISB,1,0.25,Pomoxis,141848,8/4/2024,1,M,<16
132337,HISB,1,1.5,Catfish,141848,8/4/2024,1,M,16-64
132337,HISB,1,1.5,Catfish,141848,8/4/2024,2,M,<16
132336,HISB,1,3,Catfish,141847,8/3/2024,1,M,16-64
132336,HISB,1,3,Catfish,141847,8/3/2024,1,M,<16
132318,HISB,1,14,Pomoxis,141842,7/31/2024,2,F,16-64
132318,HISB,1,14,Pomoxis,141842,7/31/2024,5,M,<16
132317,HISB,1,2,Catfish,141841,7/28/2024,1,M,16-64
132317,HISB,1,2,Catfish,141841,7/28/2024,1,M,<16
132316,HISB,1,1.5,Pomoxis,141841,7/28/2024,1,M,16-64
132315,HISB,1,1.5,Pomoxis,141840,7/27/2024,1,M,16-64
132307,RFFA,1,2,Wiper - W x S Bass,141831,7/24/2024,2,M,65-74
132306,RFFA,1,3,Wiper - W x S Bass,141830,7/27/2024,1,M,65-74
132305,RFFA,1,1,Wiper - W x S Bass,141830,7/27/2024,2,M,16-64
132302,RFFA,1,1.5,Catfish,141827,7/28/2024,1,F,16-64
132302,RFFA,1,1.5,Catfish,141827,7/28/2024,1,M,16-64
132301,RFFA,1,2,Wiper - W x S Bass,141827,7/28/2024,4,M,16-64
132300,RFFA,1,3.5,Catfish,141825,8/1/2024,1,F,16-64
132299,RFFA,1,1.5,***No Fish***,141825,8/1/2024,1,F,16-64
132298,RFFA,1,1.5,Catfish,141825,8/1/2024,1,M,16-64
132298,RFFA,1,1.5,Catfish,141825,8/1/2024,1,M,65-74
132297,RFFA,1,3,Catfish,141825,8/1/2024,1,M,65-74
132294,RFFA,1,1,White Bass,141823,8/4/2024,1,M,16-64
132293,RFFA,1,3,White Bass,141823,8/4/2024,2,M,16-64
132292,RFFA,1,1,White Bass,141823,8/4/2024,2,M,16-64
132291,RFFA,1,1,White Bass,141823,8/4/2024,1,M,16-64
132290,RFFA,1,2,Catfish,141823,8/4/2024,1,M,16-64
132289,RFFA,1,1,Catfish,141822,8/6/2024,2,M,16-64
132288,RFFA,1,1.5,***No Fish***,141822,8/6/2024,1,M,16-64
132287,RFFA,1,2,***No Fish***,141822,8/6/2024,2,M,16-64
132286,RFFA,1,8,Catfish,141822,8/6/2024,3,M,16-64
132285,RFFA,1,1,Catfish,141820,8/8/2024,3,M,16-64
132284,RFFA,1,0.5,Saugeye,141820,8/8/2024,1,M,16-64
132283,RFFA,1,3,Catfish,141820,8/8/2024,1,M,16-64
132283,RFFA,1,3,Catfish,141820,8/8/2024,1,M,65-74
132282,RFFA,1,1.5,White Bass,141818,8/9/2024,2,M,16-64
132281,RFFA,1,1,Catfish,141818,8/9/2024,1,M,16-64
132280,RFFA,1,3,Catfish,141818,8/9/2024,1,M,65-74
132279,RFFA,1,1,Catfish,141818,8/9/2024,1,M,16-64
132279,RFFA,1,1,Catfish,141818,8/9/2024,1,M,<16
132278,RFFA,1,0.5,White Bass,141818,8/9/2024,1,M,<16
132278,RFFA,1,0.5,White Bass,141818,8/9/2024,2,M,16-64
132277,RFFA,1,1.5,Catfish,141818,8/9/2024,2,M,<16
132275,RFFA,1,2,White Bass,141815,8/11/2024,1,M,16-64
132274,RFFA,1,2,White Bass,141815,8/11/2024,1,M,16-64
132273,RFFA,1,1,Catfish,141815,8/11/2024,1,M,16-64
132272,RFFA,1,0.5,Catfish,141815,8/11/2024,1,M,16-64
132271,RFFA,1,2,Saugeye,141815,8/11/2024,1,F,16-64
132271,RFFA,1,2,Saugeye,141815,8/11/2024,1,F,65-74
132270,RFFA,1,3,Catfish,141814,8/13/2024,1,M,16-64
132269,RFFA,1,1,White Bass,141814,8/13/2024,1,M,16-64
132268,RFFA,1,1.5,Catfish,141814,8/13/2024,1,M,16-64
132267,RFFA,1,0.5,Blue Catfish,141814,8/13/2024,2,M,16-64
132266,RFFA,1,0.5,Catfish,141814,8/13/2024,1,M,16-64
132266,RFFA,1,0.5,Catfish,141814,8/13/2024,1,M,<16
132265,RFFA,1,2.5,Catfish,141812,8/17/2024,1,M,16-64
132264,RFFA,1,0.75,***No Fish***,141812,8/17/2024,1,F,16-64
132263,RFFA,1,1,LONGNOSE GAR,141812,8/17/2024,1,F,16-64
132263,RFFA,1,1,LONGNOSE GAR,141812,8/17/2024,1,M,16-64
132262,RFFA,1,0.5,White Bass,141812,8/17/2024,1,M,16-64
132261,RFFA,1,1,Catfish,141812,8/17/2024,3,M,16-64
132260,RFFA,1,2,Catfish,141812,8/17/2024,1,F,16-64
132260,RFFA,1,2,Catfish,141812,8/17/2024,2,M,16-64
132256,RFFA,1,1.5,Largemouth Bass,141809,8/21/2024,1,M,16-64
132255,RFFA,1,1,White Bass,141809,8/21/2024,2,M,16-64
132254,RFFA,1,0.5,Wiper - W x S Bass,141809,8/21/2024,1,M,16-64
132252,RFFA,1,0.5,***No Fish***,141807,8/25/2024,2,M,16-64
132251,RFFA,1,1,LONGNOSE GAR,141807,8/25/2024,1,M,16-64
132223,RFFA,1,0.5,Pomoxis,141797,8/31/2024,2,M,16-64
132221,RFFA,1,0.25,LONGNOSE GAR,141797,8/31/2024,1,M,16-64
132220,RFFA,1,3.5,Catfish,141797,8/31/2024,1,M,16-64
132219,RFFA,1,30,Catfish,141797,8/31/2024,2,M,16-64
132216,RFFA,1,1.5,Catfish,141782,9/7/2024,1,M,<16
132216,RFFA,1,1.5,Catfish,141782,9/7/2024,2,M,16-64
132215,RFFA,1,1,Catfish,141782,9/7/2024,2,M,16-64
132214,RFFA,1,1.5,Catfish,141782,9/7/2024,1,M,16-64
132213,RFFA,1,2,***No Fish***,141782,9/7/2024,1,M,16-64
132212,RFFA,1,0.5,Catfish,141780,9/8/2024,3,M,16-64
132211,RFFA,1,0.25,Catfish,141780,9/8/2024,2,M,16-64
132210,RFFA,1,0.5,Largemouth Bass,141780,9/8/2024,1,F,16-64
132210,RFFA,1,0.5,Largemouth Bass,141780,9/8/2024,1,M,16-64
132208,RFFA,1,1,***No Fish***,141778,9/14/2024,2,M,16-64
132207,RFFA,1,2,Catfish,141778,9/14/2024,2,M,16-64
132206,RFFA,1,1,Catfish,141778,9/14/2024,1,M,16-64
132206,RFFA,1,1,Catfish,141778,9/14/2024,1,M,<16
132205,RFFA,1,2,Catfish,141776,9/19/2024,1,M,16-64
132200,RFFA,1,1,White Bass,141771,9/24/2024,1,M,65-74
132199,RFFA,1,0.5,Catfish,141770,9/26/2024,2,M,16-64
132198,RFFA,1,2,Catfish,141770,9/26/2024,1,M,16-64
132193,RFFA,1,1,Catfish,141764,9/29/2024,1,M,16-64
132192,RFFA,1,2,Flathead Catfish,141764,9/29/2024,1,M,16-64
132192,RFFA,1,2,Flathead Catfish,141764,9/29/2024,1,M,<16
132191,RFFA,1,3,Catfish,141764,9/29/2024,1,F,16-64
132191,RFFA,1,3,Catfish,141764,9/29/2024,1,M,16-64
132190,RFFA,1,1,Largemouth Bass,141764,9/29/2024,2,M,16-64
132189,RFFA,1,1.5,Largemouth Bass,141764,9/29/2024,1,F,16-64
132189,RFFA,1,1.5,Largemouth Bass,141764,9/29/2024,1,M,16-64
132188,RFFA,1,1,Bluegill,141764,9/29/2024,1,M,16-64
132187,RFFA,1,0.3,White Bass,141753,10/1/2024,2,M,16-64
132183,RFFA,1,1.5,Catfish,141751,10/3/2024,1,F,16-64
132183,RFFA,1,1.5,Catfish,141751,10/3/2024,1,M,16-64
132182,RFFA,1,3,Catfish,141749,10/11/2024,1,M,16-64
132181,RFFA,1,4,Catfish,141749,10/11/2024,1,M,16-64
132180,RFFA,1,2.5,Freshwater Drum,141749,10/11/2024,1,F,16-64
132180,RFFA,1,2.5,Freshwater Drum,141749,10/11/2024,1,M,16-64
132174,RFFA,1,1.5,Pomoxis,141745,10/12/2024,1,M,16-64
132173,RFFA,1,6,White Bass,141745,10/12/2024,1,M,16-64
132172,RFFA,1,5,Catfish,141745,10/12/2024,2,M,16-64
132171,RFFA,1,4,Catfish,141745,10/12/2024,1,M,16-64
132171,RFFA,1,4,Catfish,141745,10/12/2024,1,M,65-74
132169,RFFA,1,0.5,Saugeye,141743,10/13/2024,1,F,<16
132169,RFFA,1,0.5,Saugeye,141743,10/13/2024,2,M,16-64
132168,RFFA,1,1.5,Catfish,141743,10/13/2024,4,M,16-64
132167,RFFA,1,1,Wiper - W x S Bass,141743,10/13/2024,1,M,16-64
132166,RFFA,1,2,Catfish,141742,10/19/2024,3,M,16-64
132165,RFFA,1,1.5,Pomoxis,141742,10/19/2024,1,M,16-64
132163,RFFA,1,0.5,Catfish,141740,10/20/2024,1,F,16-64
132163,RFFA,1,0.5,Catfish,141740,10/20/2024,1,M,16-64
132161,RFFA,1,1.5,Catfish,141740,10/20/2024,1,M,16-64
132161,RFFA,1,1.5,Catfish,141740,10/20/2024,1,M,<16
132159,RFFA,1,0.5,Saugeye,141738,10/27/2024,1,M,16-64
132158,RFFA,1,4.5,Catfish,141738,10/27/2024,1,M,16-64
132157,RFFA,1,1.5,Blue Catfish,141738,10/27/2024,1,F,16-64
132157,RFFA,1,1.5,Blue Catfish,141738,10/27/2024,1,M,16-64
132156,RFFA,1,2,Catfish,141738,10/27/2024,1,F,16-64
132156,RFFA,1,2,Catfish,141738,10/27/2024,1,M,16-64
132155,RFFA,1,4.5,Catfish,141738,10/27/2024,2,F,16-64
132154,RFFA,1,1.25,Blue Catfish,141736,6/17/2024,1,M,16-64
132154,RFFA,1,1.25,Blue Catfish,141736,6/17/2024,1,M,<16
132153,RFFA,1,1,Largemouth Bass,141736,6/17/2024,1,F,16-64
132153,RFFA,1,1,Largemouth Bass,141736,6/17/2024,2,M,16-64
132152,RFFA,1,1,Wiper - W x S Bass,141736,6/17/2024,1,M,65-74
132152,RFFA,1,1,Wiper - W x S Bass,141736,6/17/2024,2,M,16-64
132151,RFFA,1,2,Catfish,141736,6/17/2024,3,M,16-64
132149,RFFA,1,0.75,Wiper - W x S Bass,141733,6/18/2024,1,M,16-64
132148,RFFA,1,1,Catfish,141733,6/18/2024,1,M,16-64
132148,RFFA,1,1,Catfish,141733,6/18/2024,1,M,<16
132147,RFFA,1,1,Saugeye,141732,6/20/2024,1,F,16-64
132147,RFFA,1,1,Saugeye,141732,6/20/2024,1,M,16-64
132146,RFFA,1,1.75,Catfish,141732,6/20/2024,1,M,16-64
132146,RFFA,1,1.75,Catfish,141732,6/20/2024,1,M,65-74
132144,RFFA,1,2,Catfish,141730,6/21/2024,1,F,16-64
132144,RFFA,1,2,Catfish,141730,6/21/2024,1,F,<16
132144,RFFA,1,2,Catfish,141730,6/21/2024,1,M,16-64
132143,RFFA,1,2.5,Blue Catfish,141730,6/21/2024,1,M,16-64
132143,RFFA,1,2.5,Blue Catfish,141730,6/21/2024,1,M,65-74
132142,RFFA,1,1.5,Largemouth Bass,141730,6/21/2024,2,M,16-64
132141,RFFA,1,2,Catfish,141730,6/21/2024,1,F,16-64
132141,RFFA,1,2,Catfish,141730,6/21/2024,1,F,<16
132141,RFFA,1,2,Catfish,141730,6/21/2024,1,M,16-64
132136,RFFA,1,2.5,Catfish,141728,6/22/2024,1,M,65-74
132135,RFFA,1,1.5,Catfish,141728,6/22/2024,1,F,16-64
132135,RFFA,1,1.5,Catfish,141728,6/22/2024,1,M,16-64
132135,RFFA,1,1.5,Catfish,141728,6/22/2024,1,M,<16
132134,RFFA,1,1,Largemouth Bass,141728,6/22/2024,2,M,16-64
132128,RFFA,1,2,Catfish,141726,6/23/2024,1,M,16-64
132128,RFFA,1,2,Catfish,141726,6/23/2024,2,M,<16
132127,RFFA,1,1.5,Blue Catfish,141726,6/23/2024,1,M,65-74
132111,RFFA,1,1.5,Catfish,141712,7/5/2024,1,F,16-64
132111,RFFA,1,1.5,Catfish,141712,7/5/2024,1,M,16-64
132110,RFFA,1,1.75,Wiper - W x S Bass,141712,7/5/2024,1,M,65-74
132109,RFFA,1,2,Catfish,141712,7/5/2024,2,F,16-64
132109,RFFA,1,2,Catfish,141712,7/5/2024,2,M,16-64
132108,RFFA,1,2,Catfish,141712,7/5/2024,2,M,65-74
132107,RFFA,1,1.25,Largemouth Bass,141712,7/5/2024,2,M,16-64
132106,RFFA,1,1,Wiper - W x S Bass,141712,7/5/2024,1,F,16-64
132106,RFFA,1,1,Wiper - W x S Bass,141712,7/5/2024,1,M,16-64
132105,RFFA,1,3,Blue Catfish,141712,7/5/2024,1,F,16-64
132105,RFFA,1,3,Blue Catfish,141712,7/5/2024,1,M,16-64
132105,RFFA,1,3,Blue Catfish,141712,7/5/2024,1,M,<16
132104,RFFA,1,2,Largemouth Bass,141712,7/5/2024,3,M,16-64
132095,RFFA,1,1.5,Largemouth Bass,141709,7/6/2024,2,M,16-64
132094,RFFA,1,1,Blue Catfish,141709,7/6/2024,1,F,16-64
132094,RFFA,1,1,Blue Catfish,141709,7/6/2024,1,M,16-64
132093,RFFA,1,2,Catfish,141709,7/6/2024,1,M,16-64
132092,RFFA,1,1.5,Catfish,141708,7/8/2024,1,M,65-74
132091,RFFA,1,2,Largemouth Bass,141708,7/8/2024,2,M,16-64
132088,RFFA,1,2,Wiper - W x S Bass,141705,7/10/2024,1,M,65-74
132087,RFFA,1,1.5,White Bass,141705,7/10/2024,1,M,16-64
132087,RFFA,1,1.5,White Bass,141705,7/10/2024,3,M,<16
132084,RFFA,1,2.5,Catfish,141703,7/11/2024,1,F,16-64
132083,RFFA,1,1.75,Blue Catfish,141703,7/11/2024,2,M,16-64
132082,RFFA,1,1.5,Catfish,141703,7/11/2024,1,M,16-64
132079,RFFA,1,1.5,Catfish,141701,7/13/2024,1,M,16-64
132079,RFFA,1,1.5,Catfish,141701,7/13/2024,2,M,<16
132078,RFFA,1,1,Wiper - W x S Bass,141701,7/13/2024,1,M,16-64
132077,RFFA,1,2,Catfish,141701,7/13/2024,1,M,16-64
132077,RFFA,1,2,Catfish,141701,7/13/2024,1,M,<16
132075,RFFA,1,1,Catfish,141699,7/14/2024,2,M,16-64
132074,RFFA,1,1.5,Wiper - W x S Bass,141699,7/14/2024,1,M,65-74
132073,RFFA,1,2,Catfish,141697,7/15/2024,1,M,16-64
132073,RFFA,1,2,Catfish,141697,7/15/2024,1,M,65-74
132071,RFFA,1,1.5,Wiper - W x S Bass,141695,7/21/2024,2,M,65-74
132070,RFFA,1,1.5,Blue Catfish,141695,7/21/2024,1,F,16-64
132070,RFFA,1,1.5,Blue Catfish,141695,7/21/2024,1,F,<16
132070,RFFA,1,1.5,Blue Catfish,141695,7/21/2024,1,M,<16
132069,RFFA,1,2,Catfish,141695,7/21/2024,4,M,16-64
132068,RFFA,1,1.25,Wiper - W x S Bass,141695,7/21/2024,1,F,16-64
132068,RFFA,1,1.25,Wiper - W x S Bass,141695,7/21/2024,1,M,16-64
131138,HISB,1,1.5,Catfish,141085,7/23/2024,1,F,16-64
131138,HISB,1,1.5,Catfish,141085,7/23/2024,2,M,16-64
131137,HISB,1,2.5,Pomoxis,141084,7/21/2024,1,M,65-74
131136,HISB,1,3.25,Pomoxis,141084,7/21/2024,1,F,16-64
