agency,site,date,year,impd,cfs,id
USGS,06891500,2003-03-30,2003,CLSB,5.7,CLSB2003
USGS,06891500,2003-03-31,2003,CLSB,5.4,CLSB2003
USGS,06891500,2003-04-01,2003,CLSB,4.7,CLSB2003
USGS,06891500,2003-04-02,2003,CLSB,11,CLSB2003
USGS,06891500,2003-04-03,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-04,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-05,2003,CLSB,27,CLSB2003
USGS,06891500,2003-04-06,2003,CLSB,34,CLSB2003
USGS,06891500,2003-04-07,2003,CLSB,27,CLSB2003
USGS,06891500,2003-04-08,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-09,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-10,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-11,2003,CLSB,26,CLSB2003
USGS,06891500,2003-04-12,2003,CLSB,54,CLSB2003
USGS,06891500,2003-04-13,2003,CLSB,118,CLSB2003
USGS,06891500,2003-04-14,2003,CLSB,75,CLSB2003
USGS,06891500,2003-04-15,2003,CLSB,12,CLSB2003
USGS,06891500,2003-04-16,2003,CLSB,25,CLSB2003
USGS,06891500,2003-04-17,2003,CLSB,24,CLSB2003
USGS,06891500,2003-04-18,2003,CLSB,24,CLSB2003
USGS,06891500,2003-04-19,2003,CLSB,232,CLSB2003
USGS,06891500,2003-04-20,2003,CLSB,106,CLSB2003
USGS,06891500,2003-04-21,2003,CLSB,48,CLSB2003
USGS,06891500,2003-04-22,2003,CLSB,37,CLSB2003
USGS,06891500,2003-04-23,2003,CLSB,71,CLSB2003
USGS,06891500,2003-04-24,2003,CLSB,156,CLSB2003
USGS,06891500,2003-04-25,2003,CLSB,111,CLSB2003
USGS,06891500,2003-04-26,2003,CLSB,57,CLSB2003
USGS,06891500,2003-04-27,2003,CLSB,41,CLSB2003
USGS,06891500,2003-04-28,2003,CLSB,34,CLSB2003
USGS,06891500,2003-04-29,2003,CLSB,31,CLSB2003
USGS,06891500,2003-04-30,2003,CLSB,30,CLSB2003
USGS,06891500,2003-05-01,2003,CLSB,33,CLSB2003
USGS,06891500,2003-05-02,2003,CLSB,28,CLSB2003
USGS,06891500,2003-05-03,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-04,2003,CLSB,28,CLSB2003
USGS,06891500,2003-05-05,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-06,2003,CLSB,32,CLSB2003
USGS,06891500,2003-05-07,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-08,2003,CLSB,30,CLSB2003
USGS,06891500,2003-05-09,2003,CLSB,32,CLSB2003
USGS,06891500,2003-05-10,2003,CLSB,51,CLSB2003
USGS,06891500,2003-05-11,2003,CLSB,34,CLSB2003
USGS,06891500,2003-05-12,2003,CLSB,28,CLSB2003
USGS,06891500,2003-05-13,2003,CLSB,28,CLSB2003
USGS,06891500,2003-05-14,2003,CLSB,26,CLSB2003
USGS,06891500,2003-05-15,2003,CLSB,25,CLSB2003
USGS,06891500,2003-05-16,2003,CLSB,47,CLSB2003
USGS,06891500,2003-05-17,2003,CLSB,29,CLSB2003
USGS,06891500,2003-05-18,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-19,2003,CLSB,35,CLSB2003
USGS,06891500,2003-05-20,2003,CLSB,36,CLSB2003
USGS,06891500,2003-05-21,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-22,2003,CLSB,26,CLSB2003
USGS,06891500,2003-05-23,2003,CLSB,25,CLSB2003
USGS,06891500,2003-05-24,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-25,2003,CLSB,27,CLSB2003
USGS,06891500,2003-05-26,2003,CLSB,24,CLSB2003
USGS,06891500,2003-05-27,2003,CLSB,23,CLSB2003
USGS,06891500,2003-05-28,2003,CLSB,23,CLSB2003
USGS,06891500,2003-05-29,2003,CLSB,22,CLSB2003
USGS,06891500,2003-05-30,2003,CLSB,22,CLSB2003
USGS,06891500,2003-05-31,2003,CLSB,23,CLSB2003
USGS,06891500,2003-06-01,2003,CLSB,23,CLSB2003
USGS,06891500,2003-06-02,2003,CLSB,101,CLSB2003
USGS,06891500,2003-06-03,2003,CLSB,36,CLSB2003
USGS,06891500,2003-06-04,2003,CLSB,29,CLSB2003
USGS,06891500,2003-06-05,2003,CLSB,27,CLSB2003
USGS,06891500,2003-06-06,2003,CLSB,146,CLSB2003
USGS,06891500,2003-06-07,2003,CLSB,59,CLSB2003
USGS,06891500,2003-06-08,2003,CLSB,36,CLSB2003
USGS,06891500,2003-06-09,2003,CLSB,29,CLSB2003
USGS,06891500,2003-06-10,2003,CLSB,26,CLSB2003
USGS,06891500,2003-06-11,2003,CLSB,32,CLSB2003
USGS,06891500,2003-06-12,2003,CLSB,30,CLSB2003
USGS,06891500,2003-06-13,2003,CLSB,49,CLSB2003
USGS,06891500,2003-06-14,2003,CLSB,33,CLSB2003
USGS,06891500,2003-06-15,2003,CLSB,27,CLSB2003
USGS,06891500,2003-06-16,2003,CLSB,25,CLSB2003
USGS,06891500,2003-06-17,2003,CLSB,41,CLSB2003
USGS,06891500,2003-06-18,2003,CLSB,33,CLSB2003
USGS,06891500,2003-06-19,2003,CLSB,24,CLSB2003
USGS,06891500,2003-06-20,2003,CLSB,23,CLSB2003
USGS,06891500,2003-06-21,2003,CLSB,23,CLSB2003
USGS,06891500,2003-06-22,2003,CLSB,59,CLSB2003
USGS,06891500,2003-06-23,2003,CLSB,94,CLSB2003
USGS,06891500,2003-06-24,2003,CLSB,63,CLSB2003
USGS,06891500,2003-06-25,2003,CLSB,38,CLSB2003
USGS,06891500,2003-06-26,2003,CLSB,31,CLSB2003
USGS,06891500,2003-06-27,2003,CLSB,28,CLSB2003
USGS,06891500,2003-06-28,2003,CLSB,28,CLSB2003
USGS,06891500,2003-06-29,2003,CLSB,25,CLSB2003
USGS,06891500,2003-06-30,2003,CLSB,24,CLSB2003
USGS,06891500,2003-07-01,2003,CLSB,24,CLSB2003
USGS,06891500,2003-07-02,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-03,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-04,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-05,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-06,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-07,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-08,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-09,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-10,2003,CLSB,28,CLSB2003
USGS,06891500,2003-07-11,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-12,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-13,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-14,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-15,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-16,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-17,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-18,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-19,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-20,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-21,2003,CLSB,22,CLSB2003
USGS,06891500,2003-07-22,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-23,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-24,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-25,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-26,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-27,2003,CLSB,23,CLSB2003
USGS,06891500,2003-07-28,2003,CLSB,19,CLSB2003
USGS,06891500,2003-07-29,2003,CLSB,1.9,CLSB2003
USGS,06891500,2003-07-30,2003,CLSB,0.69,CLSB2003
USGS,06891500,2003-07-31,2003,CLSB,0.53,CLSB2003
USGS,06891500,2003-08-01,2003,CLSB,12,CLSB2003
USGS,06891500,2003-08-02,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-03,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-04,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-05,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-06,2003,CLSB,23,CLSB2003
USGS,06891500,2003-08-07,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-08,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-09,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-10,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-11,2003,CLSB,28,CLSB2003
USGS,06891500,2003-08-12,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-13,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-14,2003,CLSB,21,CLSB2003
USGS,06891500,2003-08-15,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-16,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-17,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-18,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-19,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-20,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-21,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-22,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-23,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-24,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-25,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-26,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-27,2003,CLSB,20,CLSB2003
USGS,06891500,2003-08-28,2003,CLSB,24,CLSB2003
USGS,06891500,2003-08-29,2003,CLSB,29,CLSB2003
USGS,06891500,2003-08-30,2003,CLSB,95,CLSB2003
USGS,06891500,2003-08-31,2003,CLSB,484,CLSB2003
USGS,06891500,2003-09-01,2003,CLSB,81,CLSB2003
USGS,06891500,2003-09-02,2003,CLSB,38,CLSB2003
USGS,06891500,2003-09-03,2003,CLSB,29,CLSB2003
USGS,06891500,2003-09-04,2003,CLSB,26,CLSB2003
USGS,06891500,2003-09-05,2003,CLSB,24,CLSB2003
USGS,06891500,2003-09-06,2003,CLSB,23,CLSB2003
USGS,06891500,2003-09-07,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-08,2003,CLSB,21,CLSB2003
USGS,06891500,2003-09-09,2003,CLSB,21,CLSB2003
USGS,06891500,2003-09-10,2003,CLSB,21,CLSB2003
USGS,06891500,2003-09-11,2003,CLSB,26,CLSB2003
USGS,06891500,2003-09-12,2003,CLSB,27,CLSB2003
USGS,06891500,2003-09-13,2003,CLSB,111,CLSB2003
USGS,06891500,2003-09-14,2003,CLSB,72,CLSB2003
USGS,06891500,2003-09-15,2003,CLSB,31,CLSB2003
USGS,06891500,2003-09-16,2003,CLSB,26,CLSB2003
USGS,06891500,2003-09-17,2003,CLSB,24,CLSB2003
USGS,06891500,2003-09-18,2003,CLSB,26,CLSB2003
USGS,06891500,2003-09-19,2003,CLSB,25,CLSB2003
USGS,06891500,2003-09-20,2003,CLSB,23,CLSB2003
USGS,06891500,2003-09-21,2003,CLSB,23,CLSB2003
USGS,06891500,2003-09-22,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-23,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-24,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-25,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-26,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-27,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-28,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-29,2003,CLSB,22,CLSB2003
USGS,06891500,2003-09-30,2003,CLSB,36,CLSB2003
USGS,06891500,2003-10-01,2003,CLSB,27,CLSB2003
USGS,06891500,2003-10-02,2003,CLSB,23,CLSB2003
USGS,06891500,2003-10-03,2003,CLSB,7.8,CLSB2003
USGS,06891500,2003-10-04,2003,CLSB,4.7,CLSB2003
USGS,06891500,2003-10-05,2003,CLSB,5.3,CLSB2003
USGS,06891500,2003-10-06,2003,CLSB,4.9,CLSB2003
USGS,06891500,2003-10-07,2003,CLSB,4.8,CLSB2003
USGS,06891500,2003-10-08,2003,CLSB,5,CLSB2003
USGS,06891500,2003-10-09,2003,CLSB,7.7,CLSB2003
USGS,06891500,2003-10-10,2003,CLSB,7.1,CLSB2003
USGS,06891500,2003-10-11,2003,CLSB,12,CLSB2003
USGS,06891500,2003-10-12,2003,CLSB,7.1,CLSB2003
USGS,06891500,2003-10-13,2003,CLSB,7.4,CLSB2003
USGS,06891500,2003-10-14,2003,CLSB,10,CLSB2003
USGS,06891500,2003-10-15,2003,CLSB,4.3,CLSB2003
USGS,06891500,2003-10-16,2003,CLSB,4.2,CLSB2003
USGS,06891500,2003-10-17,2003,CLSB,6.8,CLSB2003
USGS,06891500,2003-10-18,2003,CLSB,5.4,CLSB2003
USGS,06891500,2003-10-19,2003,CLSB,6.3,CLSB2003
USGS,06891500,2003-10-20,2003,CLSB,4,CLSB2003
USGS,06891500,2003-10-21,2003,CLSB,5.1,CLSB2003
USGS,06891500,2003-10-22,2003,CLSB,5.5,CLSB2003
USGS,06891500,2003-10-23,2003,CLSB,5.2,CLSB2003
USGS,06891500,2003-10-24,2003,CLSB,4.9,CLSB2003
USGS,06891500,2003-10-25,2003,CLSB,4.9,CLSB2003
USGS,06891500,2003-10-26,2003,CLSB,4.9,CLSB2003
USGS,06891500,2003-10-27,2003,CLSB,4,CLSB2003
USGS,06891500,2003-10-28,2003,CLSB,3.5,CLSB2003
USGS,06891500,2003-10-29,2003,CLSB,3.4,CLSB2003
USGS,06891500,2003-10-30,2003,CLSB,3.8,CLSB2003
USGS,06891500,2003-10-31,2003,CLSB,4.4,CLSB2003
USGS,06891500,2006-03-01,2006,CLSB,7.39,CLSB2006
USGS,06891500,2006-03-02,2006,CLSB,7.61,CLSB2006
USGS,06891500,2006-03-03,2006,CLSB,7.03,CLSB2006
USGS,06891500,2006-03-04,2006,CLSB,20.6,CLSB2006
USGS,06891500,2006-03-05,2006,CLSB,10.2,CLSB2006
USGS,06891500,2006-03-06,2006,CLSB,8.23,CLSB2006
USGS,06891500,2006-03-07,2006,CLSB,7.67,CLSB2006
USGS,06891500,2006-03-08,2006,CLSB,10.8,CLSB2006
USGS,06891500,2006-03-09,2006,CLSB,8.48,CLSB2006
USGS,06891500,2006-03-10,2006,CLSB,8.41,CLSB2006
USGS,06891500,2006-03-11,2006,CLSB,8,CLSB2006
USGS,06891500,2006-03-12,2006,CLSB,7.73,CLSB2006
USGS,06891500,2006-03-13,2006,CLSB,15,CLSB2006
USGS,06891500,2006-03-14,2006,CLSB,14.2,CLSB2006
USGS,06891500,2006-03-15,2006,CLSB,13.4,CLSB2006
USGS,06891500,2006-03-16,2006,CLSB,12.5,CLSB2006
USGS,06891500,2006-03-17,2006,CLSB,11.3,CLSB2006
USGS,06891500,2006-03-18,2006,CLSB,16,CLSB2006
USGS,06891500,2006-03-19,2006,CLSB,30.2,CLSB2006
USGS,06891500,2006-03-20,2006,CLSB,80.8,CLSB2006
USGS,06891500,2006-03-21,2006,CLSB,100,CLSB2006
USGS,06891500,2006-03-22,2006,CLSB,71.4,CLSB2006
USGS,06891500,2006-03-23,2006,CLSB,57.2,CLSB2006
USGS,06891500,2006-03-24,2006,CLSB,37.2,CLSB2006
USGS,06891500,2006-03-25,2006,CLSB,23.2,CLSB2006
USGS,06891500,2006-03-26,2006,CLSB,19.4,CLSB2006
USGS,06891500,2006-03-27,2006,CLSB,25.7,CLSB2006
USGS,06891500,2006-03-28,2006,CLSB,17.9,CLSB2006
USGS,06891500,2006-03-29,2006,CLSB,15.8,CLSB2006
USGS,06891500,2006-03-30,2006,CLSB,28.9,CLSB2006
USGS,06891500,2006-03-31,2006,CLSB,112,CLSB2006
USGS,06891500,2006-04-01,2006,CLSB,223,CLSB2006
USGS,06891500,2006-04-02,2006,CLSB,105,CLSB2006
USGS,06891500,2006-04-03,2006,CLSB,163,CLSB2006
USGS,06891500,2006-04-04,2006,CLSB,259,CLSB2006
USGS,06891500,2006-04-05,2006,CLSB,254,CLSB2006
USGS,06891500,2006-04-06,2006,CLSB,253,CLSB2006
USGS,06891500,2006-04-07,2006,CLSB,160,CLSB2006
USGS,06891500,2006-04-08,2006,CLSB,58.2,CLSB2006
USGS,06891500,2006-04-09,2006,CLSB,55.8,CLSB2006
USGS,06891500,2006-04-10,2006,CLSB,54.7,CLSB2006
USGS,06891500,2006-04-11,2006,CLSB,54,CLSB2006
USGS,06891500,2006-04-12,2006,CLSB,54.1,CLSB2006
USGS,06891500,2006-04-13,2006,CLSB,52.4,CLSB2006
USGS,06891500,2006-04-14,2006,CLSB,51.6,CLSB2006
USGS,06891500,2006-04-15,2006,CLSB,51.9,CLSB2006
USGS,06891500,2006-04-16,2006,CLSB,52.1,CLSB2006
USGS,06891500,2006-04-17,2006,CLSB,51.5,CLSB2006
USGS,06891500,2006-04-18,2006,CLSB,51.1,CLSB2006
USGS,06891500,2006-04-19,2006,CLSB,49.9,CLSB2006
USGS,06891500,2006-04-20,2006,CLSB,49.7,CLSB2006
USGS,06891500,2006-04-21,2006,CLSB,49.2,CLSB2006
USGS,06891500,2006-04-22,2006,CLSB,48.9,CLSB2006
USGS,06891500,2006-04-23,2006,CLSB,55.4,CLSB2006
USGS,06891500,2006-04-24,2006,CLSB,73.6,CLSB2006
USGS,06891500,2006-04-25,2006,CLSB,67,CLSB2006
USGS,06891500,2006-04-26,2006,CLSB,51.3,CLSB2006
USGS,06891500,2006-04-27,2006,CLSB,49.1,CLSB2006
USGS,06891500,2006-04-28,2006,CLSB,97.4,CLSB2006
USGS,06891500,2006-04-29,2006,CLSB,262,CLSB2006
USGS,06891500,2006-04-30,2006,CLSB,1660,CLSB2006
USGS,06891500,2006-05-01,2006,CLSB,1120,CLSB2006
USGS,06891500,2006-05-02,2006,CLSB,825,CLSB2006
USGS,06891500,2006-05-03,2006,CLSB,624,CLSB2006
USGS,06891500,2006-05-04,2006,CLSB,529,CLSB2006
USGS,06891500,2006-05-05,2006,CLSB,321,CLSB2006
USGS,06891500,2006-05-06,2006,CLSB,79.7,CLSB2006
USGS,06891500,2006-05-07,2006,CLSB,73.9,CLSB2006
USGS,06891500,2006-05-08,2006,CLSB,70.4,CLSB2006
USGS,06891500,2006-05-09,2006,CLSB,124,CLSB2006
USGS,06891500,2006-05-10,2006,CLSB,83.9,CLSB2006
USGS,06891500,2006-05-11,2006,CLSB,72.9,CLSB2006
USGS,06891500,2006-05-12,2006,CLSB,76,CLSB2006
USGS,06891500,2006-05-13,2006,CLSB,74,CLSB2006
USGS,06891500,2006-05-14,2006,CLSB,64.9,CLSB2006
USGS,06891500,2006-05-15,2006,CLSB,61.3,CLSB2006
USGS,06891500,2006-05-16,2006,CLSB,60.4,CLSB2006
USGS,06891500,2006-05-17,2006,CLSB,58,CLSB2006
USGS,06891500,2006-05-18,2006,CLSB,57.3,CLSB2006
USGS,06891500,2006-05-19,2006,CLSB,161,CLSB2006
USGS,06891500,2006-05-20,2006,CLSB,721,CLSB2006
USGS,06891500,2006-05-21,2006,CLSB,746,CLSB2006
USGS,06891500,2006-05-22,2006,CLSB,56.2,CLSB2006
USGS,06891500,2006-05-23,2006,CLSB,53.3,CLSB2006
USGS,06891500,2006-05-24,2006,CLSB,54,CLSB2006
USGS,06891500,2006-05-25,2006,CLSB,52.2,CLSB2006
USGS,06891500,2006-05-26,2006,CLSB,51.1,CLSB2006
USGS,06891500,2006-05-27,2006,CLSB,50.6,CLSB2006
USGS,06891500,2006-05-28,2006,CLSB,50.4,CLSB2006
USGS,06891500,2006-05-29,2006,CLSB,50.8,CLSB2006
USGS,06891500,2006-05-30,2006,CLSB,51.8,CLSB2006
USGS,06891500,2006-05-31,2006,CLSB,53,CLSB2006
USGS,06891500,2006-06-01,2006,CLSB,51.2,CLSB2006
USGS,06891500,2006-06-02,2006,CLSB,50.6,CLSB2006
USGS,06891500,2006-06-03,2006,CLSB,50,CLSB2006
USGS,06891500,2006-06-04,2006,CLSB,51.7,CLSB2006
USGS,06891500,2006-06-05,2006,CLSB,50.2,CLSB2006
USGS,06891500,2006-06-06,2006,CLSB,49.7,CLSB2006
USGS,06891500,2006-06-07,2006,CLSB,48.5,CLSB2006
USGS,06891500,2006-06-08,2006,CLSB,49.1,CLSB2006
USGS,06891500,2006-06-09,2006,CLSB,48.1,CLSB2006
USGS,06891500,2006-06-10,2006,CLSB,48,CLSB2006
USGS,06891500,2006-06-11,2006,CLSB,48,CLSB2006
USGS,06891500,2006-06-12,2006,CLSB,48.1,CLSB2006
USGS,06891500,2006-06-13,2006,CLSB,48.4,CLSB2006
USGS,06891500,2006-06-14,2006,CLSB,47.6,CLSB2006
USGS,06891500,2006-06-15,2006,CLSB,47.4,CLSB2006
USGS,06891500,2006-06-16,2006,CLSB,47.3,CLSB2006
USGS,06891500,2006-06-17,2006,CLSB,48.6,CLSB2006
USGS,06891500,2006-06-18,2006,CLSB,53.8,CLSB2006
USGS,06891500,2006-06-19,2006,CLSB,48,CLSB2006
USGS,06891500,2006-06-20,2006,CLSB,47.5,CLSB2006
USGS,06891500,2006-06-21,2006,CLSB,48,CLSB2006
USGS,06891500,2006-06-22,2006,CLSB,49.4,CLSB2006
USGS,06891500,2006-06-23,2006,CLSB,49,CLSB2006
USGS,06891500,2006-06-24,2006,CLSB,47.9,CLSB2006
USGS,06891500,2006-06-25,2006,CLSB,48.1,CLSB2006
USGS,06891500,2006-06-26,2006,CLSB,47.7,CLSB2006
USGS,06891500,2006-06-27,2006,CLSB,47.4,CLSB2006
USGS,06891500,2006-06-28,2006,CLSB,47.3,CLSB2006
USGS,06891500,2006-06-29,2006,CLSB,46.8,CLSB2006
USGS,06891500,2006-06-30,2006,CLSB,47,CLSB2006
USGS,06891500,2006-07-01,2006,CLSB,46.8,CLSB2006
USGS,06891500,2006-07-02,2006,CLSB,47,CLSB2006
USGS,06891500,2006-07-03,2006,CLSB,46.9,CLSB2006
USGS,06891500,2006-07-04,2006,CLSB,66.4,CLSB2006
USGS,06891500,2006-07-05,2006,CLSB,48.2,CLSB2006
USGS,06891500,2006-07-06,2006,CLSB,47.4,CLSB2006
USGS,06891500,2006-07-07,2006,CLSB,46.7,CLSB2006
USGS,06891500,2006-07-08,2006,CLSB,46.4,CLSB2006
USGS,06891500,2006-07-09,2006,CLSB,47.2,CLSB2006
USGS,06891500,2006-07-10,2006,CLSB,51.8,CLSB2006
USGS,06891500,2006-07-11,2006,CLSB,49.2,CLSB2006
USGS,06891500,2006-07-12,2006,CLSB,112,CLSB2006
USGS,06891500,2006-07-13,2006,CLSB,53.6,CLSB2006
USGS,06891500,2006-07-14,2006,CLSB,65.8,CLSB2006
USGS,06891500,2006-07-15,2006,CLSB,50.9,CLSB2006
USGS,06891500,2006-07-16,2006,CLSB,48.8,CLSB2006
USGS,06891500,2006-07-17,2006,CLSB,47.1,CLSB2006
USGS,06891500,2006-07-18,2006,CLSB,46.7,CLSB2006
USGS,06891500,2006-07-19,2006,CLSB,46.1,CLSB2006
USGS,06891500,2006-07-20,2006,CLSB,45.5,CLSB2006
USGS,06891500,2006-07-21,2006,CLSB,57.2,CLSB2006
USGS,06891500,2006-07-22,2006,CLSB,245,CLSB2006
USGS,06891500,2006-07-23,2006,CLSB,60.8,CLSB2006
USGS,06891500,2006-07-24,2006,CLSB,44.4,CLSB2006
USGS,06891500,2006-07-25,2006,CLSB,44.2,CLSB2006
USGS,06891500,2006-07-26,2006,CLSB,43.6,CLSB2006
USGS,06891500,2006-07-27,2006,CLSB,68.9,CLSB2006
USGS,06891500,2006-07-28,2006,CLSB,51.2,CLSB2006
USGS,06891500,2006-07-29,2006,CLSB,46.3,CLSB2006
USGS,06891500,2006-07-30,2006,CLSB,44.5,CLSB2006
USGS,06891500,2006-07-31,2006,CLSB,43.5,CLSB2006
USGS,06891500,2006-08-01,2006,CLSB,43.2,CLSB2006
USGS,06891500,2006-08-02,2006,CLSB,43.1,CLSB2006
USGS,06891500,2006-08-03,2006,CLSB,48.9,CLSB2006
USGS,06891500,2006-08-04,2006,CLSB,30.3,CLSB2006
USGS,06891500,2006-08-05,2006,CLSB,19.9,CLSB2006
USGS,06891500,2006-08-06,2006,CLSB,19.4,CLSB2006
USGS,06891500,2006-08-07,2006,CLSB,20.1,CLSB2006
USGS,06891500,2006-08-08,2006,CLSB,19.9,CLSB2006
USGS,06891500,2006-08-09,2006,CLSB,20.1,CLSB2006
USGS,06891500,2006-08-10,2006,CLSB,19.8,CLSB2006
USGS,06891500,2006-08-11,2006,CLSB,20.3,CLSB2006
USGS,06891500,2006-08-12,2006,CLSB,19.9,CLSB2006
USGS,06891500,2006-08-13,2006,CLSB,20.3,CLSB2006
USGS,06891500,2006-08-14,2006,CLSB,23.9,CLSB2006
USGS,06891500,2006-08-15,2006,CLSB,21,CLSB2006
USGS,06891500,2006-08-16,2006,CLSB,20.2,CLSB2006
USGS,06891500,2006-08-17,2006,CLSB,21,CLSB2006
USGS,06891500,2006-08-18,2006,CLSB,20.9,CLSB2006
USGS,06891500,2006-08-19,2006,CLSB,27.5,CLSB2006
USGS,06891500,2006-08-20,2006,CLSB,20.5,CLSB2006
USGS,06891500,2006-08-21,2006,CLSB,19.8,CLSB2006
USGS,06891500,2006-08-22,2006,CLSB,19.8,CLSB2006
USGS,06891500,2006-08-23,2006,CLSB,19.6,CLSB2006
USGS,06891500,2006-08-24,2006,CLSB,19.2,CLSB2006
USGS,06891500,2006-08-25,2006,CLSB,19.8,CLSB2006
USGS,06891500,2006-08-26,2006,CLSB,84.1,CLSB2006
