impd,date,month,year,cfs
CLSB,2003-05-01,5,2003,33
CLSB,2003-05-02,5,2003,28
CLSB,2003-05-03,5,2003,27
CLSB,2003-05-04,5,2003,28
CLSB,2003-05-05,5,2003,27
CLSB,2003-05-06,5,2003,32
CLSB,2003-05-07,5,2003,27
CLSB,2003-05-08,5,2003,30
CLSB,2003-05-09,5,2003,32
CLSB,2003-05-10,5,2003,51
CLSB,2003-05-11,5,2003,34
CLSB,2003-05-12,5,2003,28
CLSB,2003-05-13,5,2003,28
CLSB,2003-05-14,5,2003,26
CLSB,2003-05-15,5,2003,25
CLSB,2003-05-16,5,2003,47
CLSB,2003-05-17,5,2003,29
CLSB,2003-05-18,5,2003,27
CLSB,2003-05-19,5,2003,35
CLSB,2003-05-20,5,2003,36
CLSB,2003-05-21,5,2003,27
CLSB,2003-05-22,5,2003,26
CLSB,2003-05-23,5,2003,25
CLSB,2003-05-24,5,2003,27
CLSB,2003-05-25,5,2003,27
CLSB,2003-05-26,5,2003,24
CLSB,2003-05-27,5,2003,23
CLSB,2003-05-28,5,2003,23
CLSB,2003-05-29,5,2003,22
CLSB,2003-05-30,5,2003,22
CLSB,2003-05-31,5,2003,23
CLSB,2003-06-01,6,2003,23
CLSB,2003-06-02,6,2003,101
CLSB,2003-06-03,6,2003,36
CLSB,2003-06-04,6,2003,29
CLSB,2003-06-05,6,2003,27
CLSB,2003-06-06,6,2003,146
CLSB,2003-06-07,6,2003,59
CLSB,2003-06-08,6,2003,36
CLSB,2003-06-09,6,2003,29
CLSB,2003-06-10,6,2003,26
CLSB,2003-06-11,6,2003,32
CLSB,2003-06-12,6,2003,30
CLSB,2003-06-13,6,2003,49
CLSB,2003-06-14,6,2003,33
CLSB,2003-06-15,6,2003,27
CLSB,2003-06-16,6,2003,25
CLSB,2003-06-17,6,2003,41
CLSB,2003-06-18,6,2003,33
CLSB,2003-06-19,6,2003,24
CLSB,2003-06-20,6,2003,23
CLSB,2003-06-21,6,2003,23
CLSB,2003-06-22,6,2003,59
CLSB,2003-06-23,6,2003,94
CLSB,2003-06-24,6,2003,63
CLSB,2003-06-25,6,2003,38
CLSB,2003-06-26,6,2003,31
CLSB,2003-06-27,6,2003,28
CLSB,2003-06-28,6,2003,28
CLSB,2003-06-29,6,2003,25
CLSB,2003-06-30,6,2003,24
CLSB,2003-07-01,7,2003,24
CLSB,2003-07-02,7,2003,23
CLSB,2003-07-03,7,2003,22
CLSB,2003-07-04,7,2003,22
CLSB,2003-07-05,7,2003,22
CLSB,2003-07-06,7,2003,22
CLSB,2003-07-07,7,2003,22
CLSB,2003-07-08,7,2003,22
CLSB,2003-07-09,7,2003,23
CLSB,2003-07-10,7,2003,28
CLSB,2003-07-11,7,2003,23
CLSB,2003-07-12,7,2003,23
CLSB,2003-07-13,7,2003,22
CLSB,2003-07-14,7,2003,22
CLSB,2003-07-15,7,2003,22
CLSB,2003-07-16,7,2003,22
CLSB,2003-07-17,7,2003,23
CLSB,2003-07-18,7,2003,22
CLSB,2003-07-19,7,2003,22
CLSB,2003-07-20,7,2003,22
CLSB,2003-07-21,7,2003,22
CLSB,2003-07-22,7,2003,23
CLSB,2003-07-23,7,2003,23
CLSB,2003-07-24,7,2003,23
CLSB,2003-07-25,7,2003,23
CLSB,2003-07-26,7,2003,23
CLSB,2003-07-27,7,2003,23
CLSB,2003-07-28,7,2003,19
CLSB,2003-07-29,7,2003,2
CLSB,2003-07-30,7,2003,1
CLSB,2003-07-31,7,2003,1
CLSB,2003-08-01,8,2003,12
CLSB,2003-08-02,8,2003,21
CLSB,2003-08-03,8,2003,20
CLSB,2003-08-04,8,2003,20
CLSB,2003-08-05,8,2003,21
CLSB,2003-08-06,8,2003,23
CLSB,2003-08-07,8,2003,21
CLSB,2003-08-08,8,2003,20
CLSB,2003-08-09,8,2003,20
CLSB,2003-08-10,8,2003,20
CLSB,2003-08-11,8,2003,28
CLSB,2003-08-12,8,2003,21
CLSB,2003-08-13,8,2003,21
CLSB,2003-08-14,8,2003,21
CLSB,2003-08-15,8,2003,20
CLSB,2003-08-16,8,2003,20
CLSB,2003-08-17,8,2003,20
CLSB,2003-08-18,8,2003,20
CLSB,2003-08-19,8,2003,20
CLSB,2003-08-20,8,2003,20
CLSB,2003-08-21,8,2003,20
CLSB,2003-08-22,8,2003,20
CLSB,2003-08-23,8,2003,20
CLSB,2003-08-24,8,2003,20
CLSB,2003-08-25,8,2003,20
CLSB,2003-08-26,8,2003,20
CLSB,2003-08-27,8,2003,20
CLSB,2003-08-28,8,2003,24
CLSB,2003-08-29,8,2003,29
CLSB,2003-08-30,8,2003,95
CLSB,2003-08-31,8,2003,484
CLSB,2003-09-01,9,2003,81
CLSB,2003-09-02,9,2003,38
CLSB,2003-09-03,9,2003,29
CLSB,2003-09-04,9,2003,26
CLSB,2003-09-05,9,2003,24
CLSB,2003-09-06,9,2003,23
CLSB,2003-09-07,9,2003,22
CLSB,2003-09-08,9,2003,21
CLSB,2003-09-09,9,2003,21
CLSB,2003-09-10,9,2003,21
CLSB,2003-09-11,9,2003,26
CLSB,2003-09-12,9,2003,27
CLSB,2003-09-13,9,2003,111
CLSB,2003-09-14,9,2003,72
CLSB,2003-09-15,9,2003,31
CLSB,2003-09-16,9,2003,26
CLSB,2003-09-17,9,2003,24
CLSB,2003-09-18,9,2003,26
CLSB,2003-09-19,9,2003,25
CLSB,2003-09-20,9,2003,23
CLSB,2003-09-21,9,2003,23
CLSB,2003-09-22,9,2003,22
CLSB,2003-09-23,9,2003,22
CLSB,2003-09-24,9,2003,22
CLSB,2003-09-25,9,2003,22
CLSB,2003-09-26,9,2003,22
CLSB,2003-09-27,9,2003,22
CLSB,2003-09-28,9,2003,22
CLSB,2003-09-29,9,2003,22
CLSB,2003-09-30,9,2003,36
CLSB,2003-10-01,10,2003,27
CLSB,2003-10-02,10,2003,23
CLSB,2003-10-03,10,2003,8
CLSB,2003-10-04,10,2003,5
CLSB,2003-10-05,10,2003,5
CLSB,2003-10-06,10,2003,5
CLSB,2003-10-07,10,2003,5
CLSB,2003-10-08,10,2003,5
CLSB,2003-10-09,10,2003,8
CLSB,2003-10-10,10,2003,7
CLSB,2003-10-11,10,2003,12
CLSB,2003-10-12,10,2003,7
CLSB,2003-10-13,10,2003,7
CLSB,2003-10-14,10,2003,10
CLSB,2003-10-15,10,2003,4
CLSB,2003-10-16,10,2003,4
CLSB,2003-10-17,10,2003,7
CLSB,2003-10-18,10,2003,5
CLSB,2003-10-19,10,2003,6
CLSB,2003-10-20,10,2003,4
CLSB,2003-10-21,10,2003,5
CLSB,2003-10-22,10,2003,6
CLSB,2003-10-23,10,2003,5
CLSB,2003-10-24,10,2003,5
CLSB,2003-10-25,10,2003,5
CLSB,2003-10-26,10,2003,5
CLSB,2003-10-27,10,2003,4
CLSB,2003-10-28,10,2003,4
CLSB,2003-10-29,10,2003,3
CLSB,2003-10-30,10,2003,4
CLSB,2003-10-31,10,2003,4
CLSB,2006-03-01,3,2006,7
CLSB,2006-03-02,3,2006,8
CLSB,2006-03-03,3,2006,7
CLSB,2006-03-04,3,2006,21
CLSB,2006-03-05,3,2006,10
CLSB,2006-03-06,3,2006,8
CLSB,2006-03-07,3,2006,8
CLSB,2006-03-08,3,2006,11
CLSB,2006-03-09,3,2006,8
CLSB,2006-03-10,3,2006,8
CLSB,2006-03-11,3,2006,8
CLSB,2006-03-12,3,2006,8
CLSB,2006-03-13,3,2006,15
CLSB,2006-03-14,3,2006,14
CLSB,2006-03-15,3,2006,13
CLSB,2006-03-16,3,2006,12
CLSB,2006-03-17,3,2006,11
CLSB,2006-03-18,3,2006,16
CLSB,2006-03-19,3,2006,30
CLSB,2006-03-20,3,2006,81
CLSB,2006-03-21,3,2006,100
CLSB,2006-03-22,3,2006,71
CLSB,2006-03-23,3,2006,57
CLSB,2006-03-24,3,2006,37
CLSB,2006-03-25,3,2006,23
CLSB,2006-03-26,3,2006,19
CLSB,2006-03-27,3,2006,26
CLSB,2006-03-28,3,2006,18
CLSB,2006-03-29,3,2006,16
CLSB,2006-03-30,3,2006,29
CLSB,2006-03-31,3,2006,112
CLSB,2006-04-01,4,2006,223
CLSB,2006-04-02,4,2006,105
CLSB,2006-04-03,4,2006,163
CLSB,2006-04-04,4,2006,259
CLSB,2006-04-05,4,2006,254
CLSB,2006-04-06,4,2006,253
CLSB,2006-04-07,4,2006,160
CLSB,2006-04-08,4,2006,58
CLSB,2006-04-09,4,2006,56
CLSB,2006-04-10,4,2006,55
CLSB,2006-04-11,4,2006,54
CLSB,2006-04-12,4,2006,54
CLSB,2006-04-13,4,2006,52
CLSB,2006-04-14,4,2006,52
CLSB,2006-04-15,4,2006,52
CLSB,2006-04-16,4,2006,52
CLSB,2006-04-17,4,2006,52
CLSB,2006-04-18,4,2006,51
CLSB,2006-04-19,4,2006,50
CLSB,2006-04-20,4,2006,50
CLSB,2006-04-21,4,2006,49
CLSB,2006-04-22,4,2006,49
CLSB,2006-04-23,4,2006,55
CLSB,2006-04-24,4,2006,74
CLSB,2006-04-25,4,2006,67
CLSB,2006-04-26,4,2006,51
CLSB,2006-04-27,4,2006,49
CLSB,2006-04-28,4,2006,97
CLSB,2006-04-29,4,2006,262
CLSB,2006-04-30,4,2006,1660
CLSB,2006-05-01,5,2006,1120
CLSB,2006-05-02,5,2006,825
CLSB,2006-05-03,5,2006,624
CLSB,2006-05-04,5,2006,529
CLSB,2006-05-05,5,2006,321
CLSB,2006-05-06,5,2006,80
CLSB,2006-05-07,5,2006,74
CLSB,2006-05-08,5,2006,70
CLSB,2006-05-09,5,2006,124
CLSB,2006-05-10,5,2006,84
CLSB,2006-05-11,5,2006,73
CLSB,2006-05-12,5,2006,76
CLSB,2006-05-13,5,2006,74
CLSB,2006-05-14,5,2006,65
CLSB,2006-05-15,5,2006,61
CLSB,2006-05-16,5,2006,60
CLSB,2006-05-17,5,2006,58
CLSB,2006-05-18,5,2006,57
CLSB,2006-05-19,5,2006,161
CLSB,2006-05-20,5,2006,721
CLSB,2006-05-21,5,2006,746
CLSB,2006-05-22,5,2006,56
CLSB,2006-05-23,5,2006,53
CLSB,2006-05-24,5,2006,54
CLSB,2006-05-25,5,2006,52
CLSB,2006-05-26,5,2006,51
CLSB,2006-05-27,5,2006,51
CLSB,2006-05-28,5,2006,50
CLSB,2006-05-29,5,2006,51
CLSB,2006-05-30,5,2006,52
CLSB,2006-05-31,5,2006,53
CLSB,2006-06-01,6,2006,51
CLSB,2006-06-02,6,2006,51
CLSB,2006-06-03,6,2006,50
CLSB,2006-06-04,6,2006,52
CLSB,2006-06-05,6,2006,50
CLSB,2006-06-06,6,2006,50
CLSB,2006-06-07,6,2006,48
CLSB,2006-06-08,6,2006,49
CLSB,2006-06-09,6,2006,48
CLSB,2006-06-10,6,2006,48
CLSB,2006-06-11,6,2006,48
CLSB,2006-06-12,6,2006,48
CLSB,2006-06-13,6,2006,48
CLSB,2006-06-14,6,2006,48
CLSB,2006-06-15,6,2006,47
CLSB,2006-06-16,6,2006,47
CLSB,2006-06-17,6,2006,49
CLSB,2006-06-18,6,2006,54
CLSB,2006-06-19,6,2006,48
CLSB,2006-06-20,6,2006,48
CLSB,2006-06-21,6,2006,48
CLSB,2006-06-22,6,2006,49
CLSB,2006-06-23,6,2006,49
CLSB,2006-06-24,6,2006,48
CLSB,2006-06-25,6,2006,48
CLSB,2006-06-26,6,2006,48
CLSB,2006-06-27,6,2006,47
CLSB,2006-06-28,6,2006,47
CLSB,2006-06-29,6,2006,47
CLSB,2006-06-30,6,2006,47
CLSB,2006-07-01,7,2006,47
CLSB,2006-07-02,7,2006,47
CLSB,2006-07-03,7,2006,47
CLSB,2006-07-04,7,2006,66
CLSB,2006-07-05,7,2006,48
CLSB,2006-07-06,7,2006,47
CLSB,2006-07-07,7,2006,47
CLSB,2006-07-08,7,2006,46
CLSB,2006-07-09,7,2006,47
CLSB,2006-07-10,7,2006,52
CLSB,2006-07-11,7,2006,49
CLSB,2006-07-12,7,2006,112
CLSB,2006-07-13,7,2006,54
CLSB,2006-07-14,7,2006,66
CLSB,2006-07-15,7,2006,51
CLSB,2006-07-16,7,2006,49
CLSB,2006-07-17,7,2006,47
CLSB,2006-07-18,7,2006,47
CLSB,2006-07-19,7,2006,46
CLSB,2006-07-20,7,2006,46
CLSB,2006-07-21,7,2006,57
CLSB,2006-07-22,7,2006,245
CLSB,2006-07-23,7,2006,61
CLSB,2006-07-24,7,2006,44
CLSB,2006-07-25,7,2006,44
CLSB,2006-07-26,7,2006,44
CLSB,2006-07-27,7,2006,69
CLSB,2006-07-28,7,2006,51
CLSB,2006-07-29,7,2006,46
CLSB,2006-07-30,7,2006,44
CLSB,2006-07-31,7,2006,44
CLSB,2006-08-01,8,2006,43
CLSB,2006-08-02,8,2006,43
CLSB,2006-08-03,8,2006,49
CLSB,2006-08-04,8,2006,30
CLSB,2006-08-05,8,2006,20
CLSB,2006-08-06,8,2006,19
CLSB,2006-08-07,8,2006,20
CLSB,2006-08-08,8,2006,20
CLSB,2006-08-09,8,2006,20
CLSB,2006-08-10,8,2006,20
CLSB,2006-08-11,8,2006,20
CLSB,2006-08-12,8,2006,20
CLSB,2006-08-13,8,2006,20
CLSB,2006-08-14,8,2006,24
CLSB,2006-08-15,8,2006,21
CLSB,2006-08-16,8,2006,20
CLSB,2006-08-17,8,2006,21
CLSB,2006-08-18,8,2006,21
CLSB,2006-08-19,8,2006,28
CLSB,2006-08-20,8,2006,20
CLSB,2006-08-21,8,2006,20
CLSB,2006-08-22,8,2006,20
CLSB,2006-08-23,8,2006,20
CLSB,2006-08-24,8,2006,19
CLSB,2006-08-25,8,2006,20
CLSB,2006-08-26,8,2006,84
CLSB,2006-08-27,8,2006,200
CLSB,2006-08-28,8,2006,65
CLSB,2006-08-29,8,2006,38
CLSB,2006-08-30,8,2006,30
CLSB,2006-08-31,8,2006,26
CLSB,2006-09-01,9,2006,24
CLSB,2006-09-02,9,2006,23
CLSB,2006-09-03,9,2006,22
CLSB,2006-09-04,9,2006,22
CLSB,2006-09-05,9,2006,22
CLSB,2006-09-06,9,2006,21
CLSB,2006-09-07,9,2006,21
CLSB,2006-09-08,9,2006,21
CLSB,2006-09-09,9,2006,21
CLSB,2006-09-10,9,2006,24
CLSB,2006-09-11,9,2006,22
CLSB,2006-09-12,9,2006,22
CLSB,2006-09-13,9,2006,21
CLSB,2006-09-14,9,2006,21
CLSB,2006-09-15,9,2006,21
CLSB,2006-09-16,9,2006,22
CLSB,2006-09-17,9,2006,28
CLSB,2006-09-18,9,2006,23
CLSB,2006-09-19,9,2006,23
CLSB,2006-09-20,9,2006,22
CLSB,2006-09-21,9,2006,29
CLSB,2006-09-22,9,2006,36
CLSB,2006-09-23,9,2006,24
CLSB,2006-09-24,9,2006,24
CLSB,2006-09-25,9,2006,23
CLSB,2006-09-26,9,2006,23
CLSB,2006-09-27,9,2006,22
CLSB,2006-09-28,9,2006,23
CLSB,2006-09-29,9,2006,23
CLSB,2006-09-30,9,2006,23
CLSB,2006-10-01,10,2006,23
CLSB,2006-10-02,10,2006,23
CLSB,2006-10-03,10,2006,20
CLSB,2006-10-04,10,2006,3
CLSB,2006-10-05,10,2006,1
CLSB,2006-10-06,10,2006,1
CLSB,2006-10-07,10,2006,1
CLSB,2006-10-08,10,2006,1
CLSB,2006-10-09,10,2006,1
CLSB,2006-10-10,10,2006,3
CLSB,2006-10-11,10,2006,10
CLSB,2006-10-12,10,2006,2
CLSB,2006-10-13,10,2006,2
CLSB,2006-10-14,10,2006,2
CLSB,2006-10-15,10,2006,28
CLSB,2006-10-16,10,2006,7
CLSB,2006-10-17,10,2006,5
CLSB,2006-10-18,10,2006,4
CLSB,2006-10-19,10,2006,4
CLSB,2006-10-20,10,2006,4
CLSB,2006-10-21,10,2006,34
CLSB,2006-10-22,10,2006,14
CLSB,2006-10-23,10,2006,9
CLSB,2006-10-24,10,2006,7
CLSB,2006-10-25,10,2006,8
CLSB,2006-10-26,10,2006,58
CLSB,2006-10-27,10,2006,112
CLSB,2006-10-28,10,2006,30
CLSB,2006-10-29,10,2006,17
CLSB,2006-10-30,10,2006,12
CLSB,2006-10-31,10,2006,11
CLSB,2012-03-01,3,2012,91
CLSB,2012-03-02,3,2012,64
CLSB,2012-03-03,3,2012,53
CLSB,2012-03-04,3,2012,48
CLSB,2012-03-05,3,2012,33
CLSB,2012-03-06,3,2012,21
CLSB,2012-03-07,3,2012,20
CLSB,2012-03-08,3,2012,33
CLSB,2012-03-09,3,2012,24
CLSB,2012-03-10,3,2012,22
CLSB,2012-03-11,3,2012,32
CLSB,2012-03-12,3,2012,46
CLSB,2012-03-13,3,2012,39
CLSB,2012-03-14,3,2012,31
CLSB,2012-03-15,3,2012,27
CLSB,2012-03-16,3,2012,25
CLSB,2012-03-17,3,2012,24
CLSB,2012-03-18,3,2012,22
CLSB,2012-03-19,3,2012,72
CLSB,2012-03-20,3,2012,290
CLSB,2012-03-21,3,2012,233
CLSB,2012-03-22,3,2012,337
CLSB,2012-03-23,3,2012,248
CLSB,2012-03-24,3,2012,142
CLSB,2012-03-25,3,2012,97
CLSB,2012-03-26,3,2012,97
CLSB,2012-03-27,3,2012,113
CLSB,2012-03-28,3,2012,102
CLSB,2012-03-29,3,2012,90
CLSB,2012-03-30,3,2012,84
CLSB,2012-03-31,3,2012,80
CLSB,2012-04-01,4,2012,77
CLSB,2012-04-02,4,2012,76
CLSB,2012-04-03,4,2012,73
CLSB,2012-04-04,4,2012,77
CLSB,2012-04-05,4,2012,81
CLSB,2012-04-06,4,2012,76
CLSB,2012-04-07,4,2012,74
CLSB,2012-04-08,4,2012,72
CLSB,2012-04-09,4,2012,71
CLSB,2012-04-10,4,2012,70
CLSB,2012-04-11,4,2012,70
CLSB,2012-04-12,4,2012,70
CLSB,2012-04-13,4,2012,72
CLSB,2012-04-14,4,2012,71
CLSB,2012-04-15,4,2012,72
CLSB,2012-04-16,4,2012,69
CLSB,2012-04-17,4,2012,69
CLSB,2012-04-18,4,2012,68
CLSB,2012-04-19,4,2012,68
CLSB,2012-04-20,4,2012,68
CLSB,2012-04-21,4,2012,67
CLSB,2012-04-22,4,2012,67
CLSB,2012-04-23,4,2012,66
CLSB,2012-04-24,4,2012,67
CLSB,2012-04-25,4,2012,53
CLSB,2012-04-26,4,2012,30
CLSB,2012-04-27,4,2012,30
CLSB,2012-04-28,4,2012,32
CLSB,2012-04-29,4,2012,70
CLSB,2012-04-30,4,2012,42
CLSB,2012-05-01,5,2012,75
CLSB,2012-05-02,5,2012,50
CLSB,2012-05-03,5,2012,40
CLSB,2012-05-04,5,2012,37
CLSB,2012-05-05,5,2012,34
CLSB,2012-05-06,5,2012,60
CLSB,2012-05-07,5,2012,92
CLSB,2012-05-08,5,2012,42
CLSB,2012-05-09,5,2012,38
CLSB,2012-05-10,5,2012,34
CLSB,2012-05-11,5,2012,31
CLSB,2012-05-12,5,2012,29
CLSB,2012-05-13,5,2012,29
CLSB,2012-05-14,5,2012,28
CLSB,2012-05-15,5,2012,27
CLSB,2012-05-16,5,2012,27
CLSB,2012-05-17,5,2012,26
CLSB,2012-05-18,5,2012,25
CLSB,2012-05-19,5,2012,25
CLSB,2012-05-20,5,2012,24
CLSB,2012-05-21,5,2012,23
CLSB,2012-05-22,5,2012,23
CLSB,2012-05-23,5,2012,23
CLSB,2012-05-24,5,2012,26
CLSB,2012-05-25,5,2012,33
CLSB,2012-05-26,5,2012,26
CLSB,2012-05-27,5,2012,24
CLSB,2012-05-28,5,2012,23
CLSB,2012-05-29,5,2012,23
CLSB,2012-05-30,5,2012,27
CLSB,2012-05-31,5,2012,36
CLSB,2012-06-01,6,2012,24
CLSB,2012-06-02,6,2012,23
CLSB,2012-06-03,6,2012,22
CLSB,2012-06-04,6,2012,22
CLSB,2012-06-05,6,2012,22
CLSB,2012-06-06,6,2012,22
CLSB,2012-06-07,6,2012,21
CLSB,2012-06-08,6,2012,21
CLSB,2012-06-09,6,2012,21
CLSB,2012-06-10,6,2012,21
CLSB,2012-06-11,6,2012,24
CLSB,2012-06-12,6,2012,22
CLSB,2012-06-13,6,2012,22
CLSB,2012-06-14,6,2012,22
CLSB,2012-06-15,6,2012,21
CLSB,2012-06-16,6,2012,21
CLSB,2012-06-17,6,2012,21
CLSB,2012-06-18,6,2012,21
CLSB,2012-06-19,6,2012,21
CLSB,2012-06-20,6,2012,21
CLSB,2012-06-21,6,2012,58
CLSB,2012-06-22,6,2012,23
CLSB,2012-06-23,6,2012,22
CLSB,2012-06-24,6,2012,21
CLSB,2012-06-25,6,2012,21
CLSB,2012-06-26,6,2012,21
CLSB,2012-06-27,6,2012,21
CLSB,2012-06-28,6,2012,20
CLSB,2012-06-29,6,2012,20
CLSB,2012-06-30,6,2012,20
CLSB,2012-07-01,7,2012,20
CLSB,2012-07-02,7,2012,20
CLSB,2012-07-03,7,2012,20
CLSB,2012-07-04,7,2012,21
CLSB,2012-07-05,7,2012,21
CLSB,2012-07-06,7,2012,21
CLSB,2012-07-07,7,2012,21
CLSB,2012-07-08,7,2012,21
CLSB,2012-07-09,7,2012,24
CLSB,2012-07-10,7,2012,21
CLSB,2012-07-11,7,2012,21
CLSB,2012-07-12,7,2012,21
CLSB,2012-07-13,7,2012,22
CLSB,2012-07-14,7,2012,21
CLSB,2012-07-15,7,2012,21
CLSB,2012-07-16,7,2012,21
CLSB,2012-07-17,7,2012,21
CLSB,2012-07-18,7,2012,21
CLSB,2012-07-19,7,2012,48
CLSB,2012-07-20,7,2012,21
CLSB,2012-07-21,7,2012,20
CLSB,2012-07-22,7,2012,20
CLSB,2012-07-23,7,2012,20
CLSB,2012-07-24,7,2012,20
CLSB,2012-07-25,7,2012,21
CLSB,2012-07-26,7,2012,22
CLSB,2012-07-27,7,2012,21
CLSB,2012-07-28,7,2012,21
CLSB,2012-07-29,7,2012,21
CLSB,2012-07-30,7,2012,21
CLSB,2012-07-31,7,2012,22
CLSB,2012-08-01,8,2012,21
CLSB,2012-08-02,8,2012,23
CLSB,2012-08-03,8,2012,22
CLSB,2012-08-04,8,2012,22
CLSB,2012-08-05,8,2012,21
CLSB,2012-08-06,8,2012,21
CLSB,2012-08-07,8,2012,21
CLSB,2012-08-08,8,2012,22
CLSB,2012-08-09,8,2012,22
CLSB,2012-08-10,8,2012,21
CLSB,2012-08-11,8,2012,21
CLSB,2012-08-12,8,2012,21
CLSB,2012-08-13,8,2012,21
CLSB,2012-08-14,8,2012,22
CLSB,2012-08-15,8,2012,22
CLSB,2012-08-16,8,2012,22
CLSB,2012-08-17,8,2012,22
CLSB,2012-08-18,8,2012,22
CLSB,2012-08-19,8,2012,22
CLSB,2012-08-20,8,2012,22
CLSB,2012-08-21,8,2012,22
CLSB,2012-08-22,8,2012,23
CLSB,2012-08-23,8,2012,23
CLSB,2012-08-24,8,2012,23
CLSB,2012-08-25,8,2012,30
CLSB,2012-08-26,8,2012,24
CLSB,2012-08-27,8,2012,23
CLSB,2012-08-28,8,2012,23
CLSB,2012-08-29,8,2012,23
CLSB,2012-08-30,8,2012,22
CLSB,2012-08-31,8,2012,26
CLSB,2012-09-01,9,2012,50
CLSB,2012-09-02,9,2012,24
CLSB,2012-09-03,9,2012,23
CLSB,2012-09-04,9,2012,22
CLSB,2012-09-05,9,2012,22
CLSB,2012-09-06,9,2012,22
CLSB,2012-09-07,9,2012,24
CLSB,2012-09-08,9,2012,25
CLSB,2012-09-09,9,2012,24
CLSB,2012-09-10,9,2012,23
CLSB,2012-09-11,9,2012,23
CLSB,2012-09-12,9,2012,24
CLSB,2012-09-13,9,2012,29
CLSB,2012-09-14,9,2012,30
CLSB,2012-09-15,9,2012,25
CLSB,2012-09-16,9,2012,25
CLSB,2012-09-17,9,2012,25
CLSB,2012-09-18,9,2012,25
CLSB,2012-09-19,9,2012,24
CLSB,2012-09-20,9,2012,24
CLSB,2012-09-21,9,2012,24
CLSB,2012-09-22,9,2012,24
CLSB,2012-09-23,9,2012,24
CLSB,2012-09-24,9,2012,24
CLSB,2012-09-25,9,2012,24
CLSB,2012-09-26,9,2012,27
CLSB,2012-09-27,9,2012,27
CLSB,2012-09-28,9,2012,26
CLSB,2012-09-29,9,2012,25
CLSB,2012-09-30,9,2012,26
CLSB,2012-10-01,10,2012,22
CLSB,2012-10-02,10,2012,5
CLSB,2012-10-03,10,2012,3
CLSB,2012-10-04,10,2012,4
CLSB,2012-10-05,10,2012,6
CLSB,2012-10-06,10,2012,6
CLSB,2012-10-07,10,2012,6
CLSB,2012-10-08,10,2012,6
CLSB,2012-10-09,10,2012,6
CLSB,2012-10-10,10,2012,7
CLSB,2012-10-11,10,2012,6
CLSB,2012-10-12,10,2012,6
CLSB,2012-10-13,10,2012,26
CLSB,2012-10-14,10,2012,25
CLSB,2012-10-15,10,2012,8
CLSB,2012-10-16,10,2012,8
CLSB,2012-10-17,10,2012,6
CLSB,2012-10-18,10,2012,8
CLSB,2012-10-19,10,2012,7
CLSB,2012-10-20,10,2012,7
CLSB,2012-10-21,10,2012,7
CLSB,2012-10-22,10,2012,7
CLSB,2012-10-23,10,2012,8
CLSB,2012-10-24,10,2012,8
CLSB,2012-10-25,10,2012,8
CLSB,2012-10-26,10,2012,8
CLSB,2012-10-27,10,2012,8
CLSB,2012-10-28,10,2012,8
CLSB,2012-10-29,10,2012,8
CLSB,2012-10-30,10,2012,7
CLSB,2012-10-31,10,2012,7
